Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Mass Effect 3;Mass Effect 3;;Xbox 360;Fini;0;;;POSSEDE;09/03/2012;06/03/2012;15/03/2012;Electronic Arts;BioWare;17.0;17.7381;42.0;Action-RPG;
Medieval II: Total War;Medieval II: Total War;;PC;En pause;0;;;POSSEDE;09/11/2006;14/11/2006;;Sega;The Creative Assembly;;15.619;21.0;RTS;Gestion
Metal Gear Solid V: The Phantom Pain;Metal Gear Solid V: The Phantom Pain;;Playstation 4;Joué;0;;;POSSEDE;01/09/2015;01/09/2015;02/09/2015;Konami;Kojima Productions;;16.7021;47.0;Infiltration;Action
Mickey's Wild Adventure;Mickey's Wild Adventure;;Playstation;Fini;0;;;NE POSSEDE PAS;;;;Sony Computer Entertainment;Traveller's Tales;;13.5556;18.0;Action;Plates-Formes
Mirror's Edge;Mirror's Edge;;PC;En pause;0;;;POSSEDE;16/01/2009;13/01/2009;;Electronic Arts;EA Digital Illusions CE;;15.3333;63.0;FPS;Plates-Formes
Mirror's Edge;Mirror's Edge;;Xbox 360;Joué;0;;;POSSEDE;14/11/2008;12/11/2008;;Electronic Arts;EA Digital Illusions CE;13.0;16.0833;36.0;FPS;Plates-Formes
Monster Hunter 4G (Monster Hunter 4 Ultimate);Monster Hunter 4G;Monster Hunter 4 Ultimate;Nintendo 3DS;Joué;14;;;POSSEDE;13/02/2015;13/02/2015;11/10/2014;Capcom;Capcom;;17.1765;17.0;Action-RPG;
Monster Hunter Freedom Unite;Monster Hunter Freedom Unite;;PSP;Joué;17;;;POSSEDE;26/06/2009;;27/03/2008;Capcom;Capcom;15.0;17.7778;18.0;Action;RPG
Monster Hunter Rise;Monster Hunter Rise;;Nintendo Switch;En cours;1;;;POSSEDE;26/03/2021;26/03/2021;;Capcom;Capcom;;16.25;4.0;Action-RPG;
Monument Valley;Monument Valley;;iOS;Fini;1;;;POSSEDE;03/04/2014;03/04/2014;03/04/2014;Ustwo;Ken Wong;17.0;18.0;7.0;Réflexion;
Monument Valley II;Monument Valley II;;iOS;Fini;2;;;POSSEDE;05/06/2017;05/06/2017;05/06/2017;Ustwo;...;17.0;16.7143;7.0;Puzzle-Game;Réflexion
Mortal Kombat;Mortal Kombat;;Super Nintendo;Fini;0;;;POSSEDE;;;;Acclaim Entertainment;Midway;14.0;14.3636;11.0;Jeu de combat;
Napoléon: Total War;Napoléon: Total War;;PC;En pause;0;;;POSSEDE;26/02/2010;23/02/2010;;Sega;The Creative Assembly;;15.6818;22.0;RTS;Gestion
Naruto: Rise of a Ninja;Naruto: Rise of a Ninja;;Xbox 360;Fini;0;;;NE POSSEDE PAS;02/11/2007;30/10/2007;;Ubisoft;Ubisoft;15.0;14.3571;14.0;Action;Jeu de combat
NBA 2K16;NBA 2K16;;PC;Joué;20;;;POSSEDE;29/09/2015;29/09/2015;;2K Sports;Visual Concepts;;16.3333;3.0;Sport ;
New Super Mario Bros.;New Super Mario Bros.;;Nintendo DS;Joué;0;;;POSSEDE;30/06/2006;15/05/2006;;Nintendo;Nintendo;15.0;16.0121;165.0;Plates-Formes;
Ni no Kuni II: Revenant Kingdom (Ni no Kuni 2 : L'avènement d'un nouveau Royaume);Ni no Kuni II: Revenant Kingdom;Ni no Kuni 2 : L'avènement d'un nouveau Royaume;PC;Fini;43;;2023-00-00;POSSEDE;23/03/2018;23/03/2018;23/03/2018;Level-5;LEVEL 5;17.0;15.1111;9.0;RPG;
Ninokuni Shikkoku no Madôshi (Ni no Kuni : La Vengeance de la Sorcière Céleste);Ninokuni Shikkoku no Madôshi;Ni no Kuni : La Vengeance de la Sorcière Céleste;Nintendo Switch;Fini;35;;2022-00-00;POSSEDE;20/09/2019;20/09/2019;;Level-5;Level-5;18.0;16.125;8.0;RPG;
Nier;Nier;;Xbox 360;Fini;0;;;POSSEDE;23/04/2012;27/04/2012;22/04/2012;Square Enix;Cavia;17.0;17.5714;7.0;Action-RPG;Hack'n'slash
NieR : Automata;NieR : Automata;;PC;En cours;21;;;POSSEDE;17/03/2017;17/03/2017;23/02/2017;Square Enix;PlatinumGames;;16.0;26.0;Action-RPG;
No Man's Sky;No Man's Sky;;PC;En cours;22;;;POSSEDE;12/08/2016;12/08/2016;12/08/2016;Hello Games;Hello games;;13.575;40.0;Action/Aventure;Survie
No Man's Sky;No Man's Sky;;Nintendo Switch 2;En cours;0;2025-09-14;0000-00-00;POSSEDE;05/06/2025;05/06/2025;05/06/2025;Hello Games;Hello games;;;;Action/Aventure;Survie
Octopath Traveler;Octopath Traveler;;Nintendo Switch;Wishé;0;;;SOUHAITE ACHETER;13/07/2018;13/07/2018;13/07/2018;Square Enix;Square Enix;;16.68;25.0;RPG;Aventure
Ori and the Blind Forest : Definitive Edition;Ori and the Blind Forest : Definitive Edition;;PC;En cours;0;;;POSSEDE;27/04/2016;27/04/2016;;Microsoft Studios;Moon Studios;;17.9634;82.0;Aventure / Plates-Formes;
Overwatch;Overwatch;;PC;Joué;4;;;POSSEDE;24/05/2016;24/05/2016;24/05/2016;Blizzard Entertainment;Blizzard Entertainment;;16.1382;123.0;FPS;MMO
Oxenfree;Oxenfree;;PC;En cours;0;;;POSSEDE;15/01/2016;15/01/2016;15/01/2016;Night School Studio;Night School Studio;;17.3529;17.0;Aventure Narrative;
Persona 4: Golden;Persona 4: Golden;;PC;En cours;27;2025-12-05;0000-00-00;POSSEDE;13/06/2020;13/06/2020;13/06/2020;Atlus;Atlus;;17.1429;7.0;RPG;
Persona 5 Royal;Persona 5 Royal;;Nintendo Switch;Fini;75;;2023-00-00;POSSEDE;21/10/2022;21/10/2022;21/10/2022;Atlus;Atlus;18.0;17.8333;6.0;RPG;
Persona 5 Scramble: The Phantom Strikers (Persona 5 Strikers);Persona 5 Scramble: The Phantom Strikers;Persona 5 Strikers;Nintendo Switch;En cours;0;;;POSSEDE;23/02/2021;23/02/2021;20/02/2020;Atlus;Atlus;;17.3333;3.0;Action-RPG;
Gyakuten Saiban (Phoenix Wright : Ace Attorney);Gyakuten Saiban;Phoenix Wright : Ace Attorney;Nintendo DS;Fini;0;;;POSSEDE;31/03/2006;11/10/2005;15/09/2005;Capcom;Capcom;16.0;17.2113;71.0;Aventure;Réflexion
Plague Inc: Evolved;Plague Inc: Evolved;;iOS;En cours;8;;;POSSEDE;;;;Ndemic Creations;Ndemic Creations;;14.6667;3.0;Stratégie;Simulation
Pokemon Koroshiamu (Pokémon Colosseum);Pokemon Koroshiamu;Pokémon Colosseum;GameCube;Fini;0;;;POSSEDE;14/05/2004;22/03/2004;21/11/2003;Nintendo;Nintendo;15.0;15.5405;37.0;RPG;Jeu de combat
